[2025-07-19 12:52:24,999][__main__][INFO] - — Optimising with AugLagLoss + FIRE —
[2025-07-19 12:52:53,935][__main__][INFO] - step  305 | loss = 4647726921122150243893248.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=3.052e+10 | scale_scatt=6.104e+08 | rho=9.313e+17 | lambda_corr=5.973e+21 | 
[2025-07-19 12:52:54,018][__main__][INFO] - step  310 | loss = 8861166758202974941478912.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=6.824e+10 | scale_scatt=1.365e+09 | rho=4.657e+18 | lambda_corr=1.230e+22 | 
[2025-07-19 12:52:54,107][__main__][INFO] - step  315 | loss = 22115819916714455141974016.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=6.824e+10 | scale_scatt=1.365e+09 | rho=4.657e+18 | lambda_corr=2.986e+22 | 
[2025-07-19 12:52:54,199][__main__][INFO] - step  320 | loss = 41795143147627150005239808.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=1.526e+11 | scale_scatt=3.052e+09 | rho=2.328e+19 | lambda_corr=6.149e+22 | 
[2025-07-19 12:52:54,288][__main__][INFO] - step  325 | loss = 108068377811303926622846976.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=1.526e+11 | scale_scatt=3.052e+09 | rho=2.328e+19 | lambda_corr=1.493e+23 | 
[2025-07-19 12:52:54,376][__main__][INFO] - step  330 | loss = 203361610588312892950446080.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=3.412e+11 | scale_scatt=6.824e+09 | rho=1.164e+20 | lambda_corr=3.074e+23 | 
[2025-07-19 12:52:54,464][__main__][INFO] - step  335 | loss = 534727760848266683901542400.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=3.412e+11 | scale_scatt=6.824e+09 | rho=1.164e+20 | lambda_corr=7.466e+23 | 
[2025-07-19 12:52:54,552][__main__][INFO] - step  340 | loss = 1004254471750338829881442304.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=7.629e+11 | scale_scatt=1.526e+10 | rho=5.821e+20 | lambda_corr=1.537e+24 | 
[2025-07-19 12:52:54,641][__main__][INFO] - step  345 | loss = 2661085389070804448022888448.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=7.629e+11 | scale_scatt=1.526e+10 | rho=5.821e+20 | lambda_corr=3.733e+24 | 
[2025-07-19 12:52:54,733][__main__][INFO] - step  350 | loss = 4993201874507754029874937856.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=1.706e+12 | scale_scatt=3.412e+10 | rho=2.910e+21 | lambda_corr=7.686e+24 | 
[2025-07-19 12:52:54,814][__main__][INFO] - step  355 | loss = 13277357198979845068964233216.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=1.706e+12 | scale_scatt=3.412e+10 | rho=2.910e+21 | lambda_corr=1.867e+25 | 
[2025-07-19 12:52:54,892][__main__][INFO] - step  360 | loss = 24903241448135897901311197184.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=3.815e+12 | scale_scatt=7.629e+10 | rho=1.455e+22 | lambda_corr=3.843e+25 | 
[2025-07-19 12:52:54,976][__main__][INFO] - step  365 | loss = 66324012757834059868406808576.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=3.815e+12 | scale_scatt=7.629e+10 | rho=1.455e+22 | lambda_corr=9.333e+25 | 
[2025-07-19 12:52:55,066][__main__][INFO] - step  370 | loss = 124375856147625362215982333952.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=8.530e+12 | scale_scatt=1.706e+11 | rho=7.276e+22 | lambda_corr=1.921e+26 | 
[2025-07-19 12:52:55,153][__main__][INFO] - step  375 | loss = 331479715057299413486282997760.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=8.530e+12 | scale_scatt=1.706e+11 | rho=7.276e+22 | lambda_corr=4.666e+26 | 
[2025-07-19 12:52:55,243][__main__][INFO] - step  380 | loss = 621565545598470883330494562304.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=1.907e+13 | scale_scatt=3.815e+11 | rho=3.638e+23 | lambda_corr=9.607e+26 | 
[2025-07-19 12:52:55,324][__main__][INFO] - step  385 | loss = 1657084896815238934117740445696.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=1.907e+13 | scale_scatt=3.815e+11 | rho=3.638e+23 | lambda_corr=2.333e+27 | 
[2025-07-19 12:52:55,403][__main__][INFO] - step  390 | loss = 3107125530985817631887777071104.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=4.265e+13 | scale_scatt=8.530e+11 | rho=1.819e+24 | lambda_corr=4.804e+27 | 
[2025-07-19 12:52:55,497][__main__][INFO] - step  395 | loss = 8284722702637908378352785293312.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=4.265e+13 | scale_scatt=8.530e+11 | rho=1.819e+24 | lambda_corr=1.167e+28 | 
[2025-07-19 12:52:55,584][__main__][INFO] - step  400 | loss = 15534059678141047985399291445248.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=9.537e+13 | scale_scatt=1.907e+12 | rho=9.095e+24 | lambda_corr=2.402e+28 | 
[2025-07-19 12:52:55,585][__main__][INFO] - [MACE] Relax block at outer step 400
[2025-07-19 12:52:57,124][__main__][INFO] -     MACE sub‑step 00 | E = -653.623657 eV
[2025-07-19 12:52:59,346][__main__][INFO] -     MACE sub‑step 03 | E = -653.623657 eV
[2025-07-19 12:53:00,149][__main__][INFO] - step  405 | loss = 41422044327475682103095157850112.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=9.537e+13 | scale_scatt=1.907e+12 | rho=9.095e+24 | lambda_corr=5.833e+28 | 
[2025-07-19 12:53:00,234][__main__][INFO] - step  410 | loss = 77666786461199259429243935784960.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=2.132e+14 | scale_scatt=4.265e+12 | rho=4.547e+25 | lambda_corr=1.201e+29 | 
[2025-07-19 12:53:00,322][__main__][INFO] - step  415 | loss = 207106730259611363466419237814272.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=2.132e+14 | scale_scatt=4.265e+12 | rho=4.547e+25 | lambda_corr=2.916e+29 | 
[2025-07-19 12:53:00,410][__main__][INFO] - step  420 | loss = 388326083959575358973617486430208.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=4.768e+14 | scale_scatt=9.537e+12 | rho=2.274e+26 | lambda_corr=6.004e+29 | 
[2025-07-19 12:53:00,498][__main__][INFO] - step  425 | loss = 1035525778773119486866910502453248.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=4.768e+14 | scale_scatt=9.537e+12 | rho=2.274e+26 | lambda_corr=1.458e+30 | 
[2025-07-19 12:53:00,586][__main__][INFO] - step  430 | loss = 1941613166008579254880506025607168.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=1.066e+15 | scale_scatt=2.132e+13 | rho=1.137e+27 | lambda_corr=3.002e+30 | 
[2025-07-19 12:53:00,674][__main__][INFO] - step  435 | loss = 5177610866363775340984299293769728.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=1.066e+15 | scale_scatt=2.132e+13 | rho=1.137e+27 | lambda_corr=7.291e+30 | 
[2025-07-19 12:53:00,750][__main__][INFO] - step  440 | loss = 9708024823279094946180924094545920.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=2.384e+15 | scale_scatt=4.768e+13 | rho=5.684e+27 | lambda_corr=1.501e+31 | 
