r,G_r
11.98,-0.087114
11.99,-0.07707
12,-0.066204
12.01,-0.054637
12.02,-0.042507
12.03,-0.029964
12.04,-0.017168
12.05,-0.004282
12.06,0.008526
12.07,0.021089
12.08,0.033245
12.09,0.04484
12.1,0.055732
12.11,0.065792
12.12,0.074908
12.13,0.082988
12.14,0.089961
12.15,0.095778
12.16,0.100414
12.17,0.103869
12.18,0.106166
12.19,0.107353
12.2,0.107499
12.21,0.106694
12.22,0.105046
12.23,0.102683
12.24,0.099742
12.25,0.096372
12.26,0.09273
12.27,0.088975
12.28,0.085267
12.29,0.08176
12.3,0.078604
12.31,0.075936
12.32,0.073879
12.33,0.072542
12.34,0.072011
12.35,0.072355
12.36,0.073618
12.37,0.075821
12.38,0.078962
12.39,0.083012
12.4,0.087923
12.41,0.093621
12.42,0.100013
12.43,0.106987
12.44,0.114417
12.45,0.122162
12.46,0.130071
12.47,0.137989
12.48,0.145756
12.49,0.153214
12.5,0.16021
12.51,0.1666
12.52,0.17225
12.53,0.177041
12.54,0.180873
12.55,0.183664
12.56,0.185357
12.57,0.185914
12.58,0.185325
12.59,0.183602
12.6,0.180784
12.61,0.17693
12.62,0.172124
12.63,0.16647
12.64,0.160088
12.65,0.153115
12.66,0.1457
12.67,0.137999
12.68,0.130175
12.69,0.122391
12.7,0.114808
12.71,0.10758
12.72,0.100851
12.73,0.094754
12.74,0.089401
12.75,0.084889
12.76,0.081292
12.77,0.078661
12.78,0.077021
12.79,0.076374
12.8,0.076695
12.81,0.077936
12.82,0.080022
12.83,0.08286
12.84,0.086333
12.85,0.090309
12.86,0.09464
12.87,0.099169
12.88,0.103729
12.89,0.108152
12.9,0.112267
12.91,0.11591
12.92,0.118924
12.93,0.121163
12.94,0.122497
12.95,0.122814
12.96,0.122023
12.97,0.120055
12.98,0.116866
12.99,0.11244
13,0.106785
13.01,0.099937
13.02,0.091956
13.03,0.082929
13.04,0.072965
13.05,0.062192
13.06,0.050759
13.07,0.038828
13.08,0.026572
13.09,0.014173
13.1,0.001816
13.11,-0.010313
13.12,-0.022033
13.13,-0.03317
13.14,-0.043563
13.15,-0.053063
13.16,-0.061541
13.17,-0.068888
13.18,-0.075019
13.19,-0.07987
13.2,-0.083406
13.21,-0.085617
13.22,-0.086519
13.23,-0.086154
13.24,-0.084589
13.25,-0.081914
13.26,-0.07824
13.27,-0.073698
13.28,-0.068432
13.29,-0.062602
13.3,-0.056374
13.31,-0.049923
13.32,-0.043424
13.33,-0.037051
13.34,-0.030974
13.35,-0.025354
13.36,-0.020341
13.37,-0.016068
13.38,-0.012656
13.39,-0.010204
13.4,-0.008789
13.41,-0.008468
13.42,-0.009276
13.43,-0.011224
13.44,-0.014299
13.45,-0.018467
13.46,-0.023674
13.47,-0.029844
13.48,-0.036886
13.49,-0.044692
13.5,-0.053141
13.51,-0.062101
13.52,-0.071436
13.53,-0.081
13.54,-0.090651
13.55,-0.100244
13.56,-0.10964
13.57,-0.118707
13.58,-0.12732
13.59,-0.135369
13.6,-0.142753
13.61,-0.149388
13.62,-0.155207
13.63,-0.160157
13.64,-0.164205
13.65,-0.167334
13.66,-0.169545
13.67,-0.170854
13.68,-0.171295
13.69,-0.170916
13.7,-0.169778
13.71,-0.167953
13.72,-0.165524
13.73,-0.16258
13.74,-0.159218
13.75,-0.155538
13.76,-0.151641
13.77,-0.147628
13.78,-0.143596
13.79,-0.139642
13.8,-0.135852
13.81,-0.132308
13.82,-0.129082
13.83,-0.126237
13.84,-0.123823
13.85,-0.121881
13.86,-0.12044
13.87,-0.119515
13.88,-0.119113
13.89,-0.119225
13.9,-0.119835
13.91,-0.120914
13.92,-0.122425
13.93,-0.124324
13.94,-0.126556
13.95,-0.129065
13.96,-0.131786
13.97,-0.134655
13.98,-0.137604
13.99,-0.140564
14,-0.14347
14.01,-0.146257
14.02,-0.148863
14.03,-0.151234
14.04,-0.153319
14.05,-0.155074
14.06,-0.156463
14.07,-0.157459
14.08,-0.158041
14.09,-0.158199
14.1,-0.157929
14.11,-0.157238
14.12,-0.156141
14.13,-0.154659
14.14,-0.152823
14.15,-0.15067
14.16,-0.148242
14.17,-0.145586
14.18,-0.142754
14.19,-0.1398
14.2,-0.136781
14.21,-0.133751
14.22,-0.130769
14.23,-0.127887
14.24,-0.125156
14.25,-0.122624
14.26,-0.120332
14.27,-0.118316
14.28,-0.116605
14.29,-0.11522
14.3,-0.114175
14.31,-0.113474
14.32,-0.113115
14.33,-0.113084
14.34,-0.113362
14.35,-0.113919
14.36,-0.114719
14.37,-0.115719
14.38,-0.11687
14.39,-0.118118
14.4,-0.119405
14.41,-0.12067
14.42,-0.121852
14.43,-0.122889
14.44,-0.123721
14.45,-0.124291
14.46,-0.124545
14.47,-0.124436
14.48,-0.123925
14.49,-0.122978
14.5,-0.121572
14.51,-0.119692
14.52,-0.117335
14.53,-0.114507
14.54,-0.111225
14.55,-0.107516
14.56,-0.103417
14.57,-0.098977
14.58,-0.094248
14.59,-0.089296
